id,test_code,subject,content_domain,difficulty,question_type,review_status,reviewer,source_basis,duplicate_hash,stem_preview
5002-001,5002,Reading and Language Arts,Reading,easy,single-select,human-reviewed,legacy-import,legacy-unknown,b03e96bd18a11c20ea02284b4a7d560b77be5cf55b1a3c37d4d9f223c1b6adac,Which text structure organizes information by listing reasons and supporting details about a single 
5002-002,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,d3c004caea200562a5bcdb1f7af8426b9659ce8e107b4abe3893133dd01d517b,Read the passage: 'The caterpillar chewed through the leaf with methodical persistence. Each morning
5002-003,5002,Reading and Language Arts,Reading,hard,single-select,human-reviewed,legacy-import,legacy-unknown,b770626d4cbce507af6d2e960de078862f664f03b938498787945580f9a0a276,Students are learning to identify the main idea of a paragraph. Which instructional approach most ef
5002-004,5002,Reading and Language Arts,Reading,easy,single-select,human-reviewed,legacy-import,legacy-unknown,ba7dbd7e22882d6d75b497cbb04f17375677eb13aa2d167af1d40c3f197706c6,What is the primary function of a caption in an informational text?
5002-005,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,865ae887cff27c1a0f92ac5edc14f7121020d0ead2759f3537626e3ef9960577,"In the sentence 'The ancient library, a treasure trove of scrolls, stood at the city center,' what i"
5002-006,5002,Reading and Language Arts,Reading,hard,single-select,human-reviewed,legacy-import,legacy-unknown,6dcc1f4fd20a71fd3fa7d99f5c8a9b5e6f421428ef22a730127bfba75d3ab0e9,"An author writes: 'The policy, though well-intentioned, produced outcomes opposite to those intended"
5002-007,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,17d4e561c134f2fcef595939e73e6d9d78632294aae85bbf9602048ad7fcfffd,A fourth-grade student can decode words accurately but reads without expression and has difficulty r
5002-008,5002,Reading and Language Arts,Reading,easy,single-select,human-reviewed,legacy-import,legacy-unknown,3c3a6b3a72fa744c9ad515e6a59ea59ddc46f39b8b57854510fe830dc7c56d3b,Which punctuation mark correctly joins two independent clauses without a conjunction?
5002-009,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,694c0fa91eee8b58e2cb0ca5c236ae623bf091a762dadc813e7ded3e8351cfc9,A passage describes how indigenous communities managed forest fires through controlled burning. The 
5002-010,5002,Reading and Language Arts,Reading,hard,single-select,human-reviewed,legacy-import,legacy-unknown,67b0469b52e1db8b1dc61e3f938f9d1830ee9ec49fcb82ea62312417a122cfa1,"In the sentence 'Had the committee acted sooner, the project might have succeeded,' what is the impl"
5002-011,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,2bd730fb10211b1a25f6c1700ac4d1a54769123da0799dcdb36349361a5240f5,Which strategy best helps emergent bilingual students access grade-level informational text?
5002-012,5002,Reading and Language Arts,Reading,easy,single-select,human-reviewed,legacy-import,legacy-unknown,5f78d045fc003a03a167b2e861853dc326d02590fbd6bdeaed2de4b343f12135,What is the difference between fact and opinion in informational writing?
5002-013,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,e02a4e8cef7dfa4027633a4a0a2cdad9977ebee20a11868c934207ab0a48a62b,Which transition word best shows contrast between two ideas?
5002-014,5002,Reading and Language Arts,Reading,hard,single-select,human-reviewed,legacy-import,legacy-unknown,db3fdbb42d788c69d8443cce99d3740bdfbfe8b56b315e44c1e912a8e4dd6390,"After a class discussion of a complex poem, a student says 'I just don't get it.' Which teacher resp"
5002-015,5002,Reading and Language Arts,Reading,medium,single-select,human-reviewed,legacy-import,legacy-unknown,64451765329d06e1082524b7fab974993dc7aeaa44a147db6a8a7f9247eb2642,A teacher displays the word 'unhappiness' on the board and asks students to identify its parts. Whic
5002-016,5002,Reading and Language Arts,"Writing, Speaking, and Listening",easy,single-select,human-reviewed,legacy-import,legacy-unknown,7c79f39afef9df41458c03e13935603737bfa137c807876682719d22fa5ef1ec,"Which sentence uses the correct form of 'there,' 'their,' or 'they're'?"
5002-017,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,72d6646498e7661f86e2b82e21f5dcceede86df904aea6174d45a94df1511c51,Which revision best corrects the run-on sentence 'The experiment failed the students tried again'?
5002-018,5002,Reading and Language Arts,"Writing, Speaking, and Listening",hard,single-select,human-reviewed,legacy-import,legacy-unknown,87b4ee2d5cae5792ad443e6587c6d3006fc861c86d668000ddba03c5ba78cab4,A sixth-grade student writes: 'The civil war was when many things happened.' Which feedback approach
5002-019,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,cea40556eabb3b394a3b272f79c7282a857545191f1dd4b94b0b046cf47fb14d,Which statement best distinguishes between form and function in grammar?
5002-020,5002,Reading and Language Arts,"Writing, Speaking, and Listening",easy,single-select,human-reviewed,legacy-import,legacy-unknown,24f07f552841de6eaefbf6f80f85c4fa78651970f7d6e4c9f5c7893e08723cd6,What is the purpose of an outline before writing an essay?
5002-021,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,19a3e6ab0e62ae6c38ce1125150781e0730df8058a86be2b65f353aea68fac66,"During a peer review activity, students struggle to give constructive feedback. Which scaffold best "
5002-022,5002,Reading and Language Arts,"Writing, Speaking, and Listening",hard,single-select,human-reviewed,legacy-import,legacy-unknown,f181785d41613bac859cf83597a1a7e0a03492ea15564f59180fa154e79251b9,"A student writes: 'Although the data seemed accurate, upon further review several discrepancies were"
5002-023,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,2b86057329122b593ebe7ef7d74ad9d6da7514885ae2b3fc4dbb4a5a33876956,Which element is essential to a well-structured paragraph?
5002-024,5002,Reading and Language Arts,"Writing, Speaking, and Listening",easy,single-select,human-reviewed,legacy-import,legacy-unknown,d9861f90eba0a9f388fd48eeccc613b37b536a61c5a3f657e0ed5f7455f68fc4,What is the primary difference between a run-on sentence and a comma splice?
5002-025,5002,Reading and Language Arts,"Writing, Speaking, and Listening",hard,single-select,human-reviewed,legacy-import,legacy-unknown,18c2a9c7c59f499410b7d4f95e2cdce26127f7a5e21d50c6735639d145b6a02a,"A multilingual learner submits an essay with frequent article errors (missing 'a,' 'an,' 'the'). Whi"
5002-026,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,72b9cf2ee91adf6888defc4ee98bc8da5cbb0e983713e2cbdd1255b83c94d02f,Which sentence demonstrates correct subject-verb agreement with a collective noun?
5002-027,5002,Reading and Language Arts,"Writing, Speaking, and Listening",easy,single-select,human-reviewed,legacy-import,legacy-unknown,e4f5ac87763c4c14f563eeca931ebd1ca2b4acc6056d7542dfe756fa40c0d90e,What is the function of an introductory paragraph in an essay?
5002-028,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,2956002bba6f3e8367607773baf8f7707c8bd8d264bde66749cfa3eadc0a4397,Students are learning to write effective conclusions. Which example best models a strong concluding 
5002-029,5002,Reading and Language Arts,"Writing, Speaking, and Listening",hard,single-select,human-reviewed,legacy-import,legacy-unknown,edc9ab05db7028cf3ce77ead1c26789352f8b621ef7f6760042c83d91f9a616b,Which revision best improves the parallel structure in the sentence: 'The coach told the players to 
5002-030,5002,Reading and Language Arts,"Writing, Speaking, and Listening",medium,single-select,human-reviewed,legacy-import,legacy-unknown,b8caa59ab006a94a1b0957aa010063934d1de1774809d8f0f918c3be1c053cf4,What is the purpose of transitional words and phrases in writing?
5003-001,5003,Mathematics,Numbers and Operations,easy,single-select,human-reviewed,legacy-import,legacy-unknown,81e79250aab16cf5e0f3867f867eff793e1cfe097ea2ad930d936f4059bee66c,What is the least common multiple of 6 and 8?
5003-002,5003,Mathematics,Numbers and Operations,medium,single-select,human-reviewed,legacy-import,legacy-unknown,1f4778d8db5e4eaf7e1fe2dfbfa89fe4ec34d5483bb8824f0abb5da37346a4cf,A student explains that 0.5 is greater than 0.35 because 5 is greater than 35. Which representation 
5003-003,5003,Mathematics,Numbers and Operations,hard,single-select,human-reviewed,legacy-import,legacy-unknown,27dae43ea84b488846203ff022f6a0abc03b1778fd2424846a227bbadb6d5ac4,Which assessment question best determines whether a student understands place value in decimals?
5003-004,5003,Mathematics,Numbers and Operations,medium,single-select,human-reviewed,legacy-import,legacy-unknown,c511773ae75307f742527231aac757d181b9844a10535708a41806672190ed09,Which number is equivalent to 3/4?
5003-005,5003,Mathematics,Numbers and Operations,easy,single-select,human-reviewed,legacy-import,legacy-unknown,c5fc2c14872bf6bb9fd2b2e9975de836494a1e76618d7f2dd0e3ff70b580446b,What is the greatest common factor of 12 and 18?
5003-006,5003,Mathematics,Numbers and Operations,hard,single-select,human-reviewed,legacy-import,legacy-unknown,f7b20de6bd881a9593aa34e074793204583542c7f2ab51a69e12e60afb121bd4,Why is 2/3 greater than 3/5 even though 3 > 2 and 5 > 3?
5003-007,5003,Mathematics,Numbers and Operations,medium,single-select,human-reviewed,legacy-import,legacy-unknown,38efb0a8f89f7864440bfc83fa70f9af945626acf79b23798a94f71f06b1b2ed,A student adds 1/4 + 1/3 and gets 2/7. Which correction strategy addresses the misconception most di
5003-008,5003,Mathematics,Numbers and Operations,easy,single-select,human-reviewed,legacy-import,legacy-unknown,f9a206af21bba03997831e0127cc3d25bbf25c6f26f4531006a4ef627c3bd4b2,Which of the following is a prime number?
5003-009,5003,Mathematics,Numbers and Operations,medium,single-select,human-reviewed,legacy-import,legacy-unknown,95e978d3bab118f58785b410bc1790ea186c21be0a65125834784024b58202f9,What is 15% of 240?
5003-010,5003,Mathematics,Numbers and Operations,hard,single-select,human-reviewed,legacy-import,legacy-unknown,f5ed3d1a868aaee7b4422bc2dd32bb4eb7711b9b0b2b87ce946ddb156df8b456,Which statement about the relationship between multiplication and division is ALWAYS true?
5003-011,5003,Mathematics,Algebraic Thinking,easy,single-select,human-reviewed,legacy-import,legacy-unknown,5af606e55263c3e3d641c6cbb9ccc0379b833614a75e55bc14d3ded3b3ce5667,Which expression is equivalent to 3 × (4 + 5)?
5003-012,5003,Mathematics,Algebraic Thinking,medium,single-select,human-reviewed,legacy-import,legacy-unknown,bc6e3af29895b6952af59be953b5737e767f49985d3f5bfb44d71e996b5bb5a6,"A pattern begins: 2, 5, 8, 11, 14... Which rule describes the nth term?"
5003-013,5003,Mathematics,Algebraic Thinking,hard,single-select,human-reviewed,legacy-import,legacy-unknown,809fc508f049fd957b2f561e74000350b3de176aa8859919f4789369e474b3aa,Students are learning to write equations from word problems. Which scaffold most effectively support
5003-014,5003,Mathematics,Algebraic Thinking,medium,single-select,human-reviewed,legacy-import,legacy-unknown,0b220bbf22036bbd0c05ba9d37532b23b7effaa07fd6cac5c444d7cfc20b6d21,"If x + 7 = 15, what is the value of x?"
